ProgramID_encoded,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1,n
34,9846.350938766176,4313.63114120224,3108.7834490144437,2532.6510544852235,-3.280820006987118,0.4605263157894737,0.6447368421052632,76
35,19760.392282831308,12706.63308018989,11838.181712427839,-249.04060991396358,0.33737716822220265,0.3486238532110092,0.6467889908256881,218
36,6127.029702737689,3616.8706669989665,143.06115661884004,3488.6212003324727,-10.092517876412064,0.64,0.92,25
37,8463.489702373461,5474.756044864266,382.3120361625508,2676.7794894211256,-0.0106271272998828,0.48623853211009177,0.7522935779816514,109
38,20922.17523845819,13733.91050662058,701.6181892202901,-7801.732178870318,0.20813829011599538,0.18292682926829268,0.7804878048780488,82
39,1173.6926754034887,845.8614627128062,22.066492966974373,-471.150272597123,0.6234607155557192,0.3333333333333333,1.0,3
40,1127.4049556412697,1127.39250282843,181.83691663126498,1127.39250282843,-346646.8001830436,1.0,1.0,6
41,22807.110932198197,17638.989165062023,645.1027719140006,8054.578426576964,0.10763453922261468,0.1836734693877551,0.5102040816326531,98
42,27005.263415334583,20343.239219715044,1101.9410318329271,5490.551953908438,0.07652395806573853,0.176056338028169,0.5633802816901409,142
44,2782.3405481850095,2321.595320511413,188.43547264967307,1252.4804971681845,-1.2356881728375475,0.8125,0.9375,16
45,14276.41984818823,10023.39103957355,362.65084230359565,7261.630209089262,0.1680528623726576,0.3136094674556213,0.5739644970414202,169
46,17986.575493191667,12808.850355516523,952.1538602564929,1559.5007544182747,0.38135642042570583,0.25660377358490566,0.5886792452830188,265
48,7122.742626627217,4479.849328583488,1142.2896810050029,2865.935719201658,-3.155939893517054,0.78,0.82,50
49,18639.577670183487,13753.769411135441,589.2309556850755,11586.212735790084,-0.740252040285017,0.24225352112676057,0.44647887323943664,710
50,18522.48273295837,11762.636539747235,1351.3192706355082,4158.526856082519,0.27998805250959125,0.3717948717948718,0.6495726495726496,702
51,12383.90471191678,9218.093295884228,801.026143607915,8269.694788939243,-1810.044932320528,0.5,0.5,2
52,1867.7652964856832,1331.3571658034393,181.41985161326483,754.1907974017566,-10.157097002609023,0.6666666666666666,0.7142857142857143,21
53,11948.597982890056,7679.135259606691,364.3753733840211,3792.9117175689125,-0.09609773543569977,0.32999410724808487,0.567472009428403,1697
54,14447.123457769074,11076.951689036527,3643.5940910870117,836.4896389597202,0.1553028310426805,0.3244256915142991,0.573370839193624,2133
55,28395.529634242994,17731.199871201847,4858.67451547874,17351.58640807508,-5829.519392067086,0.30303030303030304,0.42424242424242425,66
56,5939.308072884158,4312.496680947116,747.4852265425272,2938.6136418338156,-11.051196367030675,0.5813953488372093,0.9069767441860465,43
57,8779.479759366886,5676.024152757547,388.669897664606,3937.3492545830063,-0.270875450878163,0.3512658227848101,0.5680379746835443,632
58,16987.947389029392,9574.566275231253,430.7661811307519,2267.143290115991,0.2476011568514238,0.3555045871559633,0.6811926605504587,436
59,164.04318053645932,164.04318053645932,26.079996905637408,-164.04318053645932,,1.0,1.0,1
60,2652.1810123482237,1701.6387201531622,1758.8900589992288,1397.7636420166286,-5.180613753355394,0.6743589743589744,0.6974358974358974,780
61,29458.073000730743,13260.286426036522,10027.610261492762,-2717.317072356023,0.6889498933349854,0.5261958997722096,0.7992190042303937,3073
62,4450.034962749359,1776.35583549108,348.2427838115755,-991.912458606876,0.10722625884404147,0.7766323024054983,0.9209621993127147,291
63,1248.232610085566,492.55478658674633,859.4666746826467,464.3570763145569,0.15132710333115118,0.9355016538037486,0.9525909592061742,1814
64,7170.331096693311,4211.3086091082005,1104.8437564806668,345.0363333384928,0.3329256950660284,0.4779759346798453,0.7810485603781693,18616
65,4066.4835232399796,2041.8289117394584,710.1044790213409,232.4943888216793,0.3858088257167104,0.7214256452273659,0.908848832445719,4882
66,640.5020953474555,294.3928824991362,583.0426725825719,-188.69583406451764,0.35477611830735545,0.9839034205231388,1.0,497
67,5955.429220918703,3812.6996978897337,586.6228691901518,158.36088746246926,0.4739509532083773,0.49366053169734153,0.7957055214723926,4890
68,5799.019065654592,3049.039628286691,2483.351786589483,1989.126770241082,-1.0577257754714693,0.4824522434473567,0.7934251443802754,2251
69,1795.2939641685036,1173.188711554658,45.82718936023157,-1153.386411904833,-0.6133497073099945,0.48823529411764705,0.9411764705882353,170
70,2358.021556150718,2149.0042936686114,774.1931040947605,2089.607579063539,-10.525090196571847,0.13253012048192772,0.8012048192771084,166
71,3750.114451132329,3067.6351152299508,911.52568055396,2974.90005486056,-25.21442549262267,0.09281437125748503,0.7574850299401198,334
72,1357.5370325650326,1272.9603666265432,372.14415779082856,1078.3450592503298,-2.9382537080146522,0.24342105263157895,1.0,152
73,4374.459277896702,3704.739166717062,1466.0209499201305,3640.348606766036,-6.133125729368907,0.2425531914893617,0.7021276595744681,235
74,1505.7466749314956,1337.077307249883,632.5182563493324,1111.9211121378705,-3.5534109233559388,0.30718954248366015,0.9869281045751634,153
75,2844.712506829783,2437.9248423210943,755.4315451119426,2363.944344225811,-17.53335771984055,0.1228813559322034,0.8686440677966102,236
76,1466.405755322398,1334.6132115205112,405.2774838700355,1183.36872206689,-4.912955117742279,0.29411764705882354,0.9934640522875817,153
77,3653.323499071899,2923.553740792098,986.9124236721041,2836.1134162101475,-8.32924204705308,0.2669491525423729,0.7372881355932204,236
78,1343.5782675155015,1244.052209068386,501.0229673270403,1063.473599446074,-4.140307672537327,0.34415584415584416,1.0,154
79,2552.764913061206,2128.9415625593138,557.8303087057299,1991.8221329299706,-13.705264420900884,0.11440677966101695,0.8135593220338984,236
80,1319.224391135628,1213.3727113076782,411.81935767469827,1007.6734937307677,-3.912267540718597,0.33116883116883117,1.0,154
81,3991.8352806710636,3288.841050328191,1264.6811995861924,3222.088237804544,-3.2735074050998083,0.2936170212765957,0.7276595744680852,235
82,2396.5300680280698,1749.0803347460537,2834.524421386973,1742.4017038807333,-20.640183985297025,0.6624548736462094,0.7454873646209387,554
83,9223.57662063133,4270.673528291473,1139.9949387175445,885.453262606979,-1.0530294751437492,0.5762578616352201,0.7885220125786163,1272
84,5454.124309486054,3069.806540043561,283.6446436072116,-1351.6150865026448,0.40301727499592155,0.4928473690757557,0.838910312227889,8039
85,1371.0392778775017,636.799704773326,902.235966115509,84.00559116504756,0.42228847279402126,0.8668812170860152,0.9859566998244588,3418
86,9194.378018056155,3746.414350580228,756.8839368328776,1062.443674896532,-3.1660341010627446,0.4935064935064935,0.8268398268398268,231
87,7531.0671804767735,4958.378937787714,725.1279733208976,98.83176535149298,0.13318831410482657,0.4917057902973396,0.7123630672926448,3195
88,2544.9057693826726,2066.5309796430743,1652.4376779750708,1489.4251687530545,-2.04498541095034,0.49701492537313435,0.6134328358208955,670
89,3382.993840524212,2099.37704056589,165.5002518203687,-1335.6957928254772,0.18047136794912444,0.6759868421052632,0.8519736842105263,608
90,4249.288031375644,2984.7542622533024,481.1465864756046,-1833.9488089015024,-0.25131080248702364,0.41216216216216217,0.8986486486486487,148
91,4022.5229786871732,3697.257338980993,18189.983024800407,3696.3223491326985,-10059.19346075798,0.20033112582781457,0.3029801324503311,604
92,26795.873594884586,13398.609878990988,4619.696085509321,2351.2681807972995,0.8401732066638264,0.2245,0.4405,6000
93,3099.4588791418028,2478.478157939931,2129.5912750777993,-663.4116176664138,-2.5380650303591143,0.7080851063829787,0.8714893617021277,1175
94,26403.384128441492,9414.753686050342,2160.010353666631,2508.0585108015866,-0.3605898851319358,0.22641509433962265,0.5094339622641509,53
95,3450.275718997284,2622.0521973705145,608.2287092559483,922.1828039718727,-10.072078875748362,0.5126050420168067,0.773109243697479,119
96,8541.462011895444,6468.439488746483,3483.799161686338,6378.625793398986,-72.42438344609765,0.18061674008810572,0.4669603524229075,227
97,3552.578452205436,2840.2782258483476,198.30493495525045,-1462.2220545419893,-0.5056578225328667,0.44041450777202074,0.7849740932642487,386
99,1.5066912089335054,0.9196137135439896,73.21957149594535,0.4772154737485339,-0.12573449549372184,1.0,1.0,3082
100,71.75344566772606,51.23817665657521,1533.7464285839917,26.509877883039188,0.7000178382514917,0.9999430891224342,1.0,52714
102,14058.26099007254,9433.780059309373,3010.529172842542,1585.6432258381399,0.10886975525512033,0.07166556071665561,0.5296615792966158,7535
103,16629.072785563338,12429.634976183426,35747.14867096956,3158.5008416132923,0.6436005628333548,0.34399092970521544,0.9108843537414966,4410
104,8595.510203748774,8591.941288000595,38427.110050171366,8591.941288000595,-1577396.8134637778,0.0,0.0,274
105,83.77649709282984,52.776626845175834,16.711725203534385,5.48387200371933,0.4296241929567224,0.9996672212978369,1.0,3005
106,405.94521209855463,312.1240032406113,150.81994422777046,59.4784431964949,0.4839860168238155,0.9852378348824494,0.9989065062875888,3658
107,20039.103427015176,9273.503885077813,197.0922166835097,319.72018329469176,0.9492893359207119,0.5353205389955084,0.9806451612903225,12245
108,28586.40365322116,16640.90870428704,313.9111450453134,228.52106707864084,0.8947925015967209,0.7111244019138756,0.9363038277511961,3344
109,22096.30715124469,9006.182608617406,5328.067509949481,-1263.2546350053717,0.8995597890537924,0.6520051746442432,0.9308995677278894,31693
110,1.442725966135928,0.5592986395946338,37.43981183354229,-0.04170196331154868,0.00350501503005074,1.0,1.0,5292
111,13087.551257584739,2049.1038203859375,94868.10810850968,685.3635330604286,0.0915020166211119,0.8823529411764706,0.9798761609907121,646
112,7249.11074775914,725.6436561367509,1649.3045579292427,336.6281352548703,0.018463401572995974,0.8935278569938095,0.9846108367531474,57508
113,1780.9475821445026,1129.4416249426497,5488.171641280257,1022.7162599201272,-6.9459665406050926,0.8493870402802102,0.9626386456509048,1713
114,14408.957371359098,7687.291847686381,21416.06138691258,7519.786969524031,-69.15610507895626,0.08928571428571429,0.5357142857142857,56
115,1081.0850294130798,1078.045677453735,1885.3514155394646,1030.9968012770912,-2737.517735690319,1.0,1.0,69
116,1949.9826209035418,1750.1927796797954,122.48891283069369,-1696.2128166657758,-3.015782363381927,0.06666666666666667,0.8857142857142857,105
117,5963.064119086373,4640.573319669239,5122.542735982365,-1978.6568325961082,0.7569680717371446,0.9244444444444444,0.9977777777777778,450
118,130033.84949021183,110405.96460904827,53968.04632176688,-72294.08014866697,0.23802312773654966,0.673394495412844,0.7155963302752294,545
119,13135.397210617542,9528.681795873195,136.91927768318897,-1053.2677677055824,0.5723640901145367,0.39232209737827717,0.9316479400749064,2136
120,6759.956585638375,5513.091827762724,18565.223102464508,4817.09961356304,-8.020797025588994,0.1997126436781609,0.48419540229885055,696
121,7862.141047454876,4581.073599123682,22311.06800287952,4245.278850522069,-227.45325812481664,0.45774647887323944,0.6197183098591549,142
122,2104.872146920415,1790.9899849671983,117487.46751195256,579.3396888320832,-6645729.132322038,0.6666666666666666,1.0,3
123,22783.406941436002,21295.818150974817,30882.8752125483,12257.40705641654,-0.3622028333679961,0.125,0.375,8
126,82109.72051226975,51663.30826890128,14628.931593691126,-16620.116765530376,0.2806165300002038,0.3647138758870602,0.5242337309376416,13246
127,30229.647232517964,21961.671379635056,138.7574766587186,-20772.97672495205,-0.3013400597917131,0.5,0.5,2
