ProgramID_encoded,n,RMSE,MAE,Accuracy,Accuracy+-1,under_rate,over_rate,hit_rate,avg_deviation(bucket),"dir_cost(l_under=0.6,l_over=0.2,scale=1000.0)"
41,98.0,115344.09506421936,112677.97959183673,0.01020408163265306,0.14285714285714285,0.0,0.9897959183673469,0.01020408163265306,5.612244897959184,1122.4489795918366
42,143.0,112344.08831876657,109911.85314685314,0.02097902097902098,0.2097902097902098,0.0,0.9790209790209791,0.02097902097902098,4.7622377622377625,952.4475524475528
44,16.0,127022.03682235614,127007.75,0.0,0.0,0.0,1.0,0.0,7.0625,1412.5
45,168.0,124765.14720654258,123193.57738095238,0.02976190476190476,0.08333333333333333,0.0,0.9702380952380952,0.02976190476190476,6.291666666666667,1258.3333333333333
46,267.0,117117.899806951,114853.24344569289,0.0599250936329588,0.09737827715355805,0.0,0.9400749063670412,0.0599250936329588,5.52434456928839,1104.8689138576779
48,51.0,127123.49637339306,127084.50980392157,0.0,0.0,0.0,1.0,0.0,7.352941176470588,1470.5882352941173
49,710.0,125097.4543467139,123755.05633802817,0.028169014084507043,0.07183098591549296,0.0,0.971830985915493,0.028169014084507043,6.215492957746479,1243.0985915492959
50,704.0,115064.83539976,111592.61079545454,0.10085227272727272,0.1434659090909091,0.0,0.8991477272727273,0.10085227272727272,5.518465909090909,1103.693181818182
51,3.0,128862.12792102004,128861.66666666667,0.0,0.0,0.0,1.0,0.0,8.333333333333334,1666.6666666666667
52,21.0,128816.35650986325,128815.14285714286,0.0,0.0,0.0,1.0,0.0,8.047619047619047,1609.5238095238099
53,1697.0,124126.08284523705,123663.74955804361,0.0011785503830288745,0.016499705362404242,0.0,0.9988214496169712,0.0011785503830288745,6.792575132586918,1358.5150265173838
54,2133.0,116815.11285727321,115407.5499296765,0.02015939990623535,0.0829817158931083,0.0,0.9798406000937646,0.02015939990623535,5.391467416783873,1078.2934833567745
55,67.0,129155.8645664049,129155.23880597015,0.0,0.0,0.0,1.0,0.0,8.776119402985074,1755.223880597015
56,42.0,127830.91629328545,127811.28571428571,0.0,0.0,0.0,1.0,0.0,7.642857142857143,1528.5714285714287
57,632.0,126218.18862749792,125949.88132911392,0.0015822784810126582,0.007911392405063292,0.0,0.9984177215189873,0.0015822784810126582,7.264240506329114,1452.8481012658228
58,436.0,120736.31955101485,118814.44036697247,0.05045871559633028,0.06422018348623854,0.0,0.9495412844036697,0.05045871559633028,6.240825688073395,1248.165137614679
59,1.0,128971.0,128971.0,0.0,0.0,0.0,1.0,0.0,8.0,1600.0
60,779.0,129321.07505223174,129317.47368421052,0.0,0.0,0.0,1.0,0.0,8.926829268292684,1785.365853658537
61,3073.0,70357.93201764724,64829.36511552229,0.09079075821672633,0.20989261308167914,0.006508298080052067,0.9027009437032216,0.09079075821672633,4.97884803123983,1000.9762447120079
62,291.0,127230.38489946758,127150.40206185567,0.0,0.0,0.0,1.0,0.0,7.948453608247423,1589.6907216494847
63,1816.0,129330.48195579398,129324.10627753304,0.0,0.0,0.0,1.0,0.0,8.883810572687224,1776.7621145374455
64,18615.0,17129.971536188274,16243.351060972334,0.026645178619392963,0.15589578297072254,0.017566478646253023,0.955788342734354,0.026645178619392963,3.2444802578565675,666.6881547139405
66,497.0,129485.25608165274,129483.45271629779,0.0,0.0,0.0,1.0,0.0,8.963782696177063,1792.756539235413
67,4891.0,14365.203104192382,13273.332038437948,0.03578000408914332,0.2177468820282151,0.022081373952157025,0.9421386219586997,0.03578000408914332,2.7297076262523,566.7143733387855
68,2252.0,127630.90734492979,127559.84724689166,0.0,0.0008880994671403197,0.0,1.0,0.0,8.068383658969804,1613.6767317939612
69,171.0,127422.0947045707,127412.87719298246,0.0,0.0,0.0,1.0,0.0,7.432748538011696,1486.5497076023394
70,166.0,128811.25517507043,128809.28313253012,0.0,0.0,0.0,1.0,0.0,8.373493975903614,1674.6987951807228
71,335.0,128901.86392852417,128900.1104477612,0.0,0.0,0.0,1.0,0.0,8.367164179104478,1673.432835820896
72,152.0,128847.22548875981,128845.30921052632,0.0,0.0,0.0,1.0,0.0,8.43421052631579,1686.8421052631577
73,235.0,128128.49434985842,128116.72765957446,0.0,0.0,0.0,1.0,0.0,7.9787234042553195,1595.7446808510642
74,154.0,128868.88678427963,128866.9025974026,0.0,0.0,0.0,1.0,0.0,8.487012987012987,1697.4025974025976
75,237.0,128935.40900424843,128932.76371308017,0.0,0.0,0.0,1.0,0.0,8.40084388185654,1680.1687763713087
76,153.0,128893.41157295447,128891.85620915033,0.0,0.0,0.0,1.0,0.0,8.5359477124183,1707.1895424836605
77,236.0,128281.69889010418,128274.74152542373,0.0,0.0,0.0,1.0,0.0,8.135593220338983,1627.118644067797
